outer_fold,seed_index,q,lambda,quantum_model_id,classical_model_id,quantum_delta_l2,classical_delta_l2,validation_outcomes_used
CV01,1,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116760393753511,0.6970419221532465,0
CV01,1,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116760393753511,0.6970419221532465,0
CV01,1,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116760393753511,0.6970419221532465,0
CV01,1,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9083386593018493,0.6856726407688585,0
CV01,1,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9083386593018493,0.6856726407688585,0
CV01,1,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9083386593018493,0.6856726407688585,0
CV01,1,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.005820544985306,0.8523983310858916,0
CV01,1,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.005820544985306,0.8523983310858916,0
CV01,1,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.005820544985306,0.8523983310858916,0
CV01,2,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167673793484691,0.6970231158757909,0
CV01,2,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167673793484691,0.6970231158757909,0
CV01,2,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167673793484691,0.6970231158757909,0
CV01,2,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.907864325714624,0.685661063334438,0
CV01,2,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.907864325714624,0.685661063334438,0
CV01,2,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.907864325714624,0.685661063334438,0
CV01,2,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0056122404055017,0.8525539998389451,0
CV01,2,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0056122404055017,0.8525539998389451,0
CV01,2,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0056122404055017,0.8525539998389451,0
CV01,3,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167803458309298,0.6970281308452014,0
CV01,3,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167803458309298,0.6970281308452014,0
CV01,3,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167803458309298,0.6970281308452014,0
CV01,3,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080304599974184,0.6856765991609537,0
CV01,3,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080304599974184,0.6856765991609537,0
CV01,3,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080304599974184,0.6856765991609537,0
CV01,3,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0050182219823918,0.852105309849123,0
CV01,3,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0050182219823918,0.852105309849123,0
CV01,3,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0050182219823918,0.852105309849123,0
CV01,4,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167836892087366,0.6969706133469481,0
CV01,4,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167836892087366,0.6969706133469481,0
CV01,4,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167836892087366,0.6969706133469481,0
CV01,4,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9086424638456737,0.6858108951971917,0
CV01,4,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9086424638456737,0.6858108951971917,0
CV01,4,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9086424638456737,0.6858108951971917,0
CV01,4,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0058416297253776,0.852407598139684,0
CV01,4,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0058416297253776,0.852407598139684,0
CV01,4,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0058416297253776,0.852407598139684,0
CV01,5,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116848533488621,0.6970189230486608,0
CV01,5,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116848533488621,0.6970189230486608,0
CV01,5,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116848533488621,0.6970189230486608,0
CV01,5,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080220667763161,0.6856092096776977,0
CV01,5,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080220667763161,0.6856092096776977,0
CV01,5,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080220667763161,0.6856092096776977,0
CV01,5,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0059375022164747,0.8523091957178484,0
CV01,5,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0059375022164747,0.8523091957178484,0
CV01,5,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0059375022164747,0.8523091957178484,0
CV01,6,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116789940513996,0.6970212792063475,0
CV01,6,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116789940513996,0.6970212792063475,0
CV01,6,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116789940513996,0.6970212792063475,0
CV01,6,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9086237677413954,0.6862773906813127,0
CV01,6,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9086237677413954,0.6862773906813127,0
CV01,6,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9086237677413954,0.6862773906813127,0
CV01,6,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0068294077545095,0.8525991562806933,0
CV01,6,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0068294077545095,0.8525991562806933,0
CV01,6,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0068294077545095,0.8525991562806933,0
CV01,7,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116793170874691,0.6970315516538934,0
CV01,7,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116793170874691,0.6970315516538934,0
CV01,7,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116793170874691,0.6970315516538934,0
CV01,7,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080122303341183,0.685609237177123,0
CV01,7,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080122303341183,0.685609237177123,0
CV01,7,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080122303341183,0.685609237177123,0
CV01,7,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.00526671287453,0.8522102691084206,0
CV01,7,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.00526671287453,0.8522102691084206,0
CV01,7,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.00526671287453,0.8522102691084206,0
CV01,8,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116776579935912,0.6970227465300277,0
CV01,8,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116776579935912,0.6970227465300277,0
CV01,8,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116776579935912,0.6970227465300277,0
CV01,8,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9079791145324005,0.6855920631534704,0
CV01,8,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9079791145324005,0.6855920631534704,0
CV01,8,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9079791145324005,0.6855920631534704,0
CV01,8,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.005864383006601,0.8526560885668096,0
CV01,8,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.005864383006601,0.8526560885668096,0
CV01,8,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.005864383006601,0.8526560885668096,0
CV01,9,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1170060578303471,0.6970359025016758,0
CV01,9,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1170060578303471,0.6970359025016758,0
CV01,9,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1170060578303471,0.6970359025016758,0
CV01,9,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080703621092193,0.6856104353582528,0
CV01,9,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080703621092193,0.6856104353582528,0
CV01,9,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080703621092193,0.6856104353582528,0
CV01,9,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.005551886681477,0.8521309917875192,0
CV01,9,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.005551886681477,0.8521309917875192,0
CV01,9,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.005551886681477,0.8521309917875192,0
CV01,10,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116763642691711,0.6970348420714374,0
CV01,10,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116763642691711,0.6970348420714374,0
CV01,10,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116763642691711,0.6970348420714374,0
CV01,10,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9085027836282892,0.6857441915643632,0
CV01,10,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9085027836282892,0.6857441915643632,0
CV01,10,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9085027836282892,0.6857441915643632,0
CV01,10,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0056062857082289,0.8522683253482489,0
CV01,10,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0056062857082289,0.8522683253482489,0
CV01,10,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0056062857082289,0.8522683253482489,0
CV01,11,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167889592748672,0.6969656405594954,0
CV01,11,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167889592748672,0.6969656405594954,0
CV01,11,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167889592748672,0.6969656405594954,0
CV01,11,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9079169185241545,0.6855776975342576,0
CV01,11,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9079169185241545,0.6855776975342576,0
CV01,11,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9079169185241545,0.6855776975342576,0
CV01,11,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.005646755812581,0.8522922461365517,0
CV01,11,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.005646755812581,0.8522922461365517,0
CV01,11,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.005646755812581,0.8522922461365517,0
CV01,12,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167687014854837,0.6969494224630703,0
CV01,12,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167687014854837,0.6969494224630703,0
CV01,12,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167687014854837,0.6969494224630703,0
CV01,12,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.908814657239134,0.686055447440889,0
CV01,12,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.908814657239134,0.686055447440889,0
CV01,12,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.908814657239134,0.686055447440889,0
CV01,12,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0057141369664175,0.8523874512580958,0
CV01,12,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0057141369664175,0.8523874512580958,0
CV01,12,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0057141369664175,0.8523874512580958,0
CV01,13,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1170126589216804,0.6970804897563201,0
CV01,13,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1170126589216804,0.6970804897563201,0
CV01,13,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1170126589216804,0.6970804897563201,0
CV01,13,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9085282034036334,0.6856907650118784,0
CV01,13,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9085282034036334,0.6856907650118784,0
CV01,13,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9085282034036334,0.6856907650118784,0
CV01,13,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.006409905983072,0.8523812658191031,0
CV01,13,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.006409905983072,0.8523812658191031,0
CV01,13,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.006409905983072,0.8523812658191031,0
CV01,14,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167789210161474,0.6970308994008539,0
CV01,14,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167789210161474,0.6970308994008539,0
CV01,14,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167789210161474,0.6970308994008539,0
CV01,14,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080518109853425,0.685597161641373,0
CV01,14,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080518109853425,0.685597161641373,0
CV01,14,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080518109853425,0.685597161641373,0
CV01,14,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.007406899717902,0.8528127550673136,0
CV01,14,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.007406899717902,0.8528127550673136,0
CV01,14,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.007406899717902,0.8528127550673136,0
CV01,15,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.11684694478798,0.6970345830613328,0
CV01,15,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.11684694478798,0.6970345830613328,0
CV01,15,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.11684694478798,0.6970345830613328,0
CV01,15,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9081004377037551,0.6856979554411972,0
CV01,15,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9081004377037551,0.6856979554411972,0
CV01,15,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9081004377037551,0.6856979554411972,0
CV01,15,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.006617263677318,0.8524775276806064,0
CV01,15,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.006617263677318,0.8524775276806064,0
CV01,15,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.006617263677318,0.8524775276806064,0
CV01,16,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167805388270944,0.697043102945856,0
CV01,16,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167805388270944,0.697043102945856,0
CV01,16,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167805388270944,0.697043102945856,0
CV01,16,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9082795592172697,0.6856983022319607,0
CV01,16,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9082795592172697,0.6856983022319607,0
CV01,16,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9082795592172697,0.6856983022319607,0
CV01,16,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0064190494278233,0.852792143402223,0
CV01,16,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0064190494278233,0.852792143402223,0
CV01,16,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0064190494278233,0.852792143402223,0
CV01,17,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167850294689112,0.6970344927435324,0
CV01,17,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167850294689112,0.6970344927435324,0
CV01,17,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167850294689112,0.6970344927435324,0
CV01,17,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9081569392597992,0.6856345389323529,0
CV01,17,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9081569392597992,0.6856345389323529,0
CV01,17,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9081569392597992,0.6856345389323529,0
CV01,17,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0062261702432775,0.8523823254829342,0
CV01,17,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0062261702432775,0.8523823254829342,0
CV01,17,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0062261702432775,0.8523823254829342,0
CV01,18,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167723251971682,0.6969956060539608,0
CV01,18,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167723251971682,0.6969956060539608,0
CV01,18,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167723251971682,0.6969956060539608,0
CV01,18,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080089181900687,0.6855866634310974,0
CV01,18,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080089181900687,0.6855866634310974,0
CV01,18,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080089181900687,0.6855866634310974,0
CV01,18,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.00568897600008,0.8523147920329028,0
CV01,18,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.00568897600008,0.8523147920329028,0
CV01,18,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.00568897600008,0.8523147920329028,0
CV01,19,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167814032680727,0.6970228509080318,0
CV01,19,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167814032680727,0.6970228509080318,0
CV01,19,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167814032680727,0.6970228509080318,0
CV01,19,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9082659710710231,0.685604672930071,0
CV01,19,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9082659710710231,0.685604672930071,0
CV01,19,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9082659710710231,0.685604672930071,0
CV01,19,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0052291201025099,0.8525576277499777,0
CV01,19,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0052291201025099,0.8525576277499777,0
CV01,19,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0052291201025099,0.8525576277499777,0
CV01,20,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116779366707672,0.6970299302814928,0
CV01,20,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116779366707672,0.6970299302814928,0
CV01,20,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116779366707672,0.6970299302814928,0
CV01,20,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080126855802121,0.6855891548535729,0
CV01,20,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080126855802121,0.6855891548535729,0
CV01,20,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080126855802121,0.6855891548535729,0
CV01,20,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.006148025745342,0.8523262670553202,0
CV01,20,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.006148025745342,0.8523262670553202,0
CV01,20,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.006148025745342,0.8523262670553202,0
CV02,1,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.598384108134215,1.4908347266917052,0
CV02,1,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.598384108134215,1.4908347266917052,0
CV02,1,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.598384108134215,1.4908347266917052,0
CV02,1,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0060758478704583,0.9315059952330997,0
CV02,1,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0060758478704583,0.9315059952330997,0
CV02,1,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0060758478704583,0.9315059952330997,0
CV02,1,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7726307288845036,0.765348438989028,0
CV02,1,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7726307288845036,0.765348438989028,0
CV02,1,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7726307288845036,0.765348438989028,0
CV02,2,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5982506561973442,1.4907833958554135,0
CV02,2,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5982506561973442,1.4907833958554135,0
CV02,2,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5982506561973442,1.4907833958554135,0
CV02,2,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0054864175474494,0.9315103850425569,0
CV02,2,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0054864175474494,0.9315103850425569,0
CV02,2,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0054864175474494,0.9315103850425569,0
CV02,2,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7727721878093905,0.7650937591925868,0
CV02,2,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7727721878093905,0.7650937591925868,0
CV02,2,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7727721878093905,0.7650937591925868,0
CV02,3,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5986647087768249,1.4908277043342801,0
CV02,3,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5986647087768249,1.4908277043342801,0
CV02,3,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5986647087768249,1.4908277043342801,0
CV02,3,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0076725638560504,0.9315940327325632,0
CV02,3,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0076725638560504,0.9315940327325632,0
CV02,3,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0076725638560504,0.9315940327325632,0
CV02,3,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7730202393780126,0.7654023388937976,0
CV02,3,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7730202393780126,0.7654023388937976,0
CV02,3,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7730202393780126,0.7654023388937976,0
CV02,4,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5986446317283096,1.4908238493938182,0
CV02,4,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5986446317283096,1.4908238493938182,0
CV02,4,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5986446317283096,1.4908238493938182,0
CV02,4,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0058808671296755,0.9315110466282643,0
CV02,4,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0058808671296755,0.9315110466282643,0
CV02,4,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0058808671296755,0.9315110466282643,0
CV02,4,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7724534389867348,0.7656149416084284,0
CV02,4,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7724534389867348,0.7656149416084284,0
CV02,4,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7724534389867348,0.7656149416084284,0
CV02,5,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5984317069093374,1.4908251227260878,0
CV02,5,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5984317069093374,1.4908251227260878,0
CV02,5,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5984317069093374,1.4908251227260878,0
CV02,5,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0050743855757518,0.9315126804105655,0
CV02,5,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0050743855757518,0.9315126804105655,0
CV02,5,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0050743855757518,0.9315126804105655,0
CV02,5,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7724458345793189,0.7653164551284733,0
CV02,5,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7724458345793189,0.7653164551284733,0
