model_id,seed_count,mean_nrmse,std_nrmse,mean_mae,std_mae,mean_mean_regret_m_s,std_mean_regret_m_s,mean_infeasible_selection_rate,std_infeasible_selection_rate,mean_brier,std_brier,mean_auroc,std_auroc,mean_recall,std_recall
C06,20,0.006832811015144496,1.7797887332061147e-18,0.004007150054949517,0.0,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-04-L010,20,0.00685393055075674,5.740068499260969e-08,0.0051822175233564045,1.0218120052273055e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-04-L025,20,0.0071482716328361675,1.2545829117765612e-07,0.007474879992570513,2.564035016907686e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-04-L050,20,0.008234139784726261,2.1023432493341671e-07,0.011371971403113218,5.126547680245541e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-06-L010,20,0.0067922275786900434,9.767763480307104e-08,0.005092843078671571,2.492040913719019e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-06-L025,20,0.006919505670124714,2.3282244009291403e-07,0.006955059222217492,6.50316290626544e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-06-L050,20,0.007593017163293839,4.5094160723869875e-07,0.010134090238277983,1.3455552585259232e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-08-L010,20,0.006753590673396874,1.3957866968676132e-07,0.005127699891036873,7.358723351902972e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-08-L025,20,0.006823428819904313,3.807814356437245e-07,0.00706550311799847,1.9252990208342223e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TAP-RBF-SHR-08-L050,20,0.007414398035414549,9.647611088735972e-07,0.010370769182201058,3.957283421248872e-06,16.80914104758385,3.645007325606123e-15,0.06769230769230769,0.0,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-04-L010,20,0.0068938374505064974,1.953986857645022e-07,0.005757141779928856,1.0851270831890462e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-04-L025,20,0.007351350775613681,5.832411898316007e-07,0.00863674971804324,3.0381948601930134e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-04-L050,20,0.008884453373491166,1.5914737897859642e-06,0.01350095381934906,6.381816435032432e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-06-L010,20,0.0068273121856918416,1.9208368085429686e-07,0.005299012069768207,7.926780839592937e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-06-L025,20,0.007038372346522842,5.36552061276338e-07,0.007498484895088316,2.068227554681467e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-06-L050,20,0.007906997891109482,1.3972527131379542e-06,0.011225848569025353,4.1923428561746016e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-08-L010,20,0.006750127538696735,2.585771939135941e-07,0.005202976401743511,1.1768919036803266e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-08-L025,20,0.006847778168640048,7.142875062479992e-07,0.007264146234180991,3.145843342175169e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TSQR-08-L050,20,0.007558994267420518,1.7188619778149554e-06,0.010764219442619632,6.485602017095966e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
