outer_fold,seed_index,q,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,channel_fit_rows,validation_outcomes_used,channel_source
CV03,11,4,1.744094318078643,2.0651295907184424,2.147103387865186,1024,0,same_cross_fitted_c06_residual
CV03,11,6,1.328537939122438,1.6694507163748273,1.5852467407968678,1024,0,same_cross_fitted_c06_residual
CV03,11,8,1.4489808982766355,1.7070862981639463,1.705676170914372,1024,0,same_cross_fitted_c06_residual
CV03,12,4,1.7440943184666247,2.0583943394585633,2.1404520189441634,1024,0,same_cross_fitted_c06_residual
CV03,12,6,1.3135048553563533,1.6699499178680302,1.5879191892009354,1024,0,same_cross_fitted_c06_residual
CV03,12,8,1.434642161144232,1.710522054174422,1.7087657885879026,1024,0,same_cross_fitted_c06_residual
CV03,13,4,1.7440943184172724,2.0589438704878846,2.1404742069647313,1024,0,same_cross_fitted_c06_residual
CV03,13,6,1.3436533102494261,1.6687089303351055,1.5864404891786068,1024,0,same_cross_fitted_c06_residual
CV03,13,8,1.4142797366503739,1.7017852970075233,1.6928846318358874,1024,0,same_cross_fitted_c06_residual
CV03,14,4,1.744094318315123,2.0613589586581536,2.145208360798956,1024,0,same_cross_fitted_c06_residual
CV03,14,6,1.3036433122847324,1.6696007706595546,1.5815774495411075,1024,0,same_cross_fitted_c06_residual
CV03,14,8,1.4054727097140107,1.701856483580922,1.6924023761089795,1024,0,same_cross_fitted_c06_residual
CV03,15,4,1.7440943187734885,2.059869635322394,2.1429147188526887,1024,0,same_cross_fitted_c06_residual
CV03,15,6,1.3184757221574834,1.6756396366777586,1.5913903091611727,1024,0,same_cross_fitted_c06_residual
CV03,15,8,1.4367218413576266,1.7024423764591416,1.6985510886872561,1024,0,same_cross_fitted_c06_residual
CV03,16,4,1.7440943182084907,2.066215799730425,2.148009249725781,1024,0,same_cross_fitted_c06_residual
CV03,16,6,1.3115681462376785,1.6705912400779301,1.5859914464016245,1024,0,same_cross_fitted_c06_residual
CV03,16,8,1.4379107665065152,1.7027026953673838,1.6996678257064664,1024,0,same_cross_fitted_c06_residual
CV03,17,4,1.744094318688741,2.057188804035438,2.1421409868903325,1024,0,same_cross_fitted_c06_residual
CV03,17,6,1.316876340750478,1.6702265256362145,1.5880635654675583,1024,0,same_cross_fitted_c06_residual
CV03,17,8,1.447799139876045,1.7044291683312132,1.700154551834656,1024,0,same_cross_fitted_c06_residual
CV03,18,4,1.7440943180373119,2.062340924481889,2.145889060055934,1024,0,same_cross_fitted_c06_residual
CV03,18,6,1.3216087133510406,1.6686320082888662,1.5843731029674426,1024,0,same_cross_fitted_c06_residual
CV03,18,8,1.4489473573433327,1.7099622619320083,1.7084204757745751,1024,0,same_cross_fitted_c06_residual
CV03,19,4,1.7440943189219325,2.0577513382819377,2.1390368253737213,1024,0,same_cross_fitted_c06_residual
CV03,19,6,1.3287424928080693,1.6747720067150929,1.589082250818715,1024,0,same_cross_fitted_c06_residual
CV03,19,8,1.4433875484950613,1.7040195241589795,1.7092781235975747,1024,0,same_cross_fitted_c06_residual
CV03,20,4,1.7440943182737638,2.063984214822083,2.1472365655282846,1024,0,same_cross_fitted_c06_residual
CV03,20,6,1.3076803330239046,1.6690350697271878,1.5867099324424856,1024,0,same_cross_fitted_c06_residual
CV03,20,8,1.4238344629870068,1.7077642418965737,1.7013719501631412,1024,0,same_cross_fitted_c06_residual
CV04,1,4,0.994161268646838,0.7932347997129227,0.8306219782858402,1024,0,same_cross_fitted_c06_residual
CV04,1,6,0.6503274640980805,0.46553228700367,0.4702327065668846,1024,0,same_cross_fitted_c06_residual
CV04,1,8,0.6855731795192012,0.4308141713548991,0.36095445576521373,1024,0,same_cross_fitted_c06_residual
CV04,2,4,0.994161268887535,0.7906707073259844,0.8266221671330108,1024,0,same_cross_fitted_c06_residual
CV04,2,6,0.6514200894113632,0.46635539678953986,0.4725454094738219,1024,0,same_cross_fitted_c06_residual
CV04,2,8,0.6903782620832638,0.42840789193263534,0.35667705785135223,1024,0,same_cross_fitted_c06_residual
CV04,3,4,0.9941612685817508,0.7932204523387665,0.8304273722926114,1024,0,same_cross_fitted_c06_residual
CV04,3,6,0.652416469576457,0.4653142542414991,0.47464452675744695,1024,0,same_cross_fitted_c06_residual
CV04,3,8,0.6858981333308318,0.430146948743701,0.36064519318603233,1024,0,same_cross_fitted_c06_residual
CV04,4,4,0.9941612688358791,0.79315824309832,0.8302536939033917,1024,0,same_cross_fitted_c06_residual
CV04,4,6,0.6511824469586103,0.46403661924121103,0.46984107248661805,1024,0,same_cross_fitted_c06_residual
CV04,4,8,0.6876308843349027,0.4286710531463795,0.35847167122750906,1024,0,same_cross_fitted_c06_residual
CV04,5,4,0.9941612689361833,0.7933488434589917,0.830675473181976,1024,0,same_cross_fitted_c06_residual
CV04,5,6,0.6526518598293682,0.4661909033675786,0.4740113604691403,1024,0,same_cross_fitted_c06_residual
CV04,5,8,0.686003312956116,0.42743292694159035,0.3535241579569141,1024,0,same_cross_fitted_c06_residual
CV04,6,4,0.9941612689083971,0.7930735035332143,0.8298582210027553,1024,0,same_cross_fitted_c06_residual
CV04,6,6,0.652024799467028,0.4660354056220309,0.4741176827743617,1024,0,same_cross_fitted_c06_residual
CV04,6,8,0.6909444921270628,0.4262564753222894,0.3527812374433461,1024,0,same_cross_fitted_c06_residual
CV04,7,4,0.9941612686859533,0.7896233903558845,0.826552717472887,1024,0,same_cross_fitted_c06_residual
CV04,7,6,0.6521221419899369,0.46541583651817636,0.4723758712535263,1024,0,same_cross_fitted_c06_residual
CV04,7,8,0.6845078056061468,0.4285646124799076,0.35530606087487987,1024,0,same_cross_fitted_c06_residual
CV04,8,4,0.9941612689003779,0.7934233288688243,0.8309119364158912,1024,0,same_cross_fitted_c06_residual
CV04,8,6,0.6514637113734626,0.4650759124671941,0.4729782359037569,1024,0,same_cross_fitted_c06_residual
CV04,8,8,0.6884215882915329,0.429623867221575,0.3589451921121775,1024,0,same_cross_fitted_c06_residual
CV04,9,4,0.9941612691386653,0.7934214438008462,0.8307689451761668,1024,0,same_cross_fitted_c06_residual
CV04,9,6,0.6515872710875283,0.46525277301994894,0.4699690726121366,1024,0,same_cross_fitted_c06_residual
CV04,9,8,0.6882851693199669,0.43042811130090985,0.36004877956236114,1024,0,same_cross_fitted_c06_residual
CV04,10,4,0.9941612690672708,0.7932447574341855,0.8304276542758704,1024,0,same_cross_fitted_c06_residual
CV04,10,6,0.6515497066921562,0.4612811762952482,0.46639802976997197,1024,0,same_cross_fitted_c06_residual
CV04,10,8,0.6857713432651837,0.42901404793504433,0.35766169104534584,1024,0,same_cross_fitted_c06_residual
CV04,11,4,0.9941612691648102,0.791352508337701,0.8273436351617932,1024,0,same_cross_fitted_c06_residual
CV04,11,6,0.6528219016623314,0.465220342282381,0.47369317184916565,1024,0,same_cross_fitted_c06_residual
CV04,11,8,0.6842528915163604,0.42869961591063044,0.3560855701667917,1024,0,same_cross_fitted_c06_residual
CV04,12,4,0.9941612690130097,0.7934948444986822,0.8309754511283625,1024,0,same_cross_fitted_c06_residual
CV04,12,6,0.6528969418720247,0.46516507505977545,0.4736629131534216,1024,0,same_cross_fitted_c06_residual
CV04,12,8,0.6898065248867585,0.4293554992505401,0.35897551572849906,1024,0,same_cross_fitted_c06_residual
CV04,13,4,0.9941612692736618,0.7933579736938151,0.830740235871082,1024,0,same_cross_fitted_c06_residual
CV04,13,6,0.6515564536426296,0.4646627006792683,0.471877143724845,1024,0,same_cross_fitted_c06_residual
CV04,13,8,0.6820998834265682,0.4277006485717748,0.35665633857721446,1024,0,same_cross_fitted_c06_residual
CV04,14,4,0.9941612690662027,0.7929446836321528,0.8297879875808096,1024,0,same_cross_fitted_c06_residual
CV04,14,6,0.6499303327375915,0.46473678849627864,0.4728334271424886,1024,0,same_cross_fitted_c06_residual
CV04,14,8,0.6867648069838613,0.42698792763946986,0.35284019266319694,1024,0,same_cross_fitted_c06_residual
CV04,15,4,0.9941612690446286,0.7934898114911209,0.8304155434975296,1024,0,same_cross_fitted_c06_residual
CV04,15,6,0.6518940894713782,0.46599767324768715,0.4738421774553384,1024,0,same_cross_fitted_c06_residual
CV04,15,8,0.6860211640217558,0.4290429084068564,0.3564638751029318,1024,0,same_cross_fitted_c06_residual
CV04,16,4,0.9941612687465866,0.7929588228706705,0.8297139704840168,1024,0,same_cross_fitted_c06_residual
CV04,16,6,0.65152529123527,0.466787775940138,0.4737257530054492,1024,0,same_cross_fitted_c06_residual
CV04,16,8,0.6891574348869139,0.4283068754399299,0.35661661305978304,1024,0,same_cross_fitted_c06_residual
CV04,17,4,0.9941612690489727,0.7931751458019395,0.8303256450878251,1024,0,same_cross_fitted_c06_residual
CV04,17,6,0.6512217068219875,0.4659646931861013,0.4750090863573549,1024,0,same_cross_fitted_c06_residual
CV04,17,8,0.6858571106692071,0.42785042103329946,0.35390313117893313,1024,0,same_cross_fitted_c06_residual
CV04,18,4,0.9941612692104822,0.7910617607145729,0.8266364163857497,1024,0,same_cross_fitted_c06_residual
CV04,18,6,0.6520499586083323,0.46537825269712546,0.47172429625322165,1024,0,same_cross_fitted_c06_residual
CV04,18,8,0.6869775907419479,0.4292113157767759,0.35830579925432277,1024,0,same_cross_fitted_c06_residual
CV04,19,4,0.9941612689297141,0.7897508861368819,0.8261785584070016,1024,0,same_cross_fitted_c06_residual
CV04,19,6,0.6523273021570207,0.46540122330700784,0.4736529257870814,1024,0,same_cross_fitted_c06_residual
CV04,19,8,0.6873772856148441,0.43212580616745905,0.3631633072491431,1024,0,same_cross_fitted_c06_residual
CV04,20,4,0.9941612688485624,0.7935289301274104,0.831171656820873,1024,0,same_cross_fitted_c06_residual
CV04,20,6,0.6512004750003932,0.4655604655770158,0.46979852530434996,1024,0,same_cross_fitted_c06_residual
CV04,20,8,0.6871631001793536,0.42905461627462144,0.35517273716707526,1024,0,same_cross_fitted_c06_residual
CV05,1,4,0.5581806923284657,0.3440058832337736,0.320091057828283,1024,0,same_cross_fitted_c06_residual
CV05,1,6,0.7670104286896157,0.4216909263612433,0.547341497850062,1024,0,same_cross_fitted_c06_residual
CV05,1,8,0.9313270894582454,0.4456782387392238,0.5186922792300895,1024,0,same_cross_fitted_c06_residual
CV05,2,4,0.5581806924976082,0.3435743726350307,0.31935891492076107,1024,0,same_cross_fitted_c06_residual
CV05,2,6,0.7635648300796127,0.4212135820206907,0.5471620512504085,1024,0,same_cross_fitted_c06_residual
CV05,2,8,0.9270095974910122,0.44576764292556303,0.5216816033692048,1024,0,same_cross_fitted_c06_residual
CV05,3,4,0.5581806930388407,0.34300204905918646,0.3190876430549631,1024,0,same_cross_fitted_c06_residual
CV05,3,6,0.7640825940212234,0.4220359665729562,0.5469876562077302,1024,0,same_cross_fitted_c06_residual
CV05,3,8,0.9360509083214137,0.4463662762598361,0.5206275007004902,1024,0,same_cross_fitted_c06_residual
CV05,4,4,0.5581806918491199,0.3437828980101092,0.31918828637126445,1024,0,same_cross_fitted_c06_residual
CV05,4,6,0.7655896383664459,0.4219220060913073,0.5468208378540238,1024,0,same_cross_fitted_c06_residual
CV05,4,8,0.945296558192858,0.44627494150846836,0.5193432676088404,1024,0,same_cross_fitted_c06_residual
CV05,5,4,0.5581806917083937,0.3435869501549478,0.3200501712387267,1024,0,same_cross_fitted_c06_residual
CV05,5,6,0.7605878094176923,0.42230273318859257,0.5484572591123182,1024,0,same_cross_fitted_c06_residual
CV05,5,8,0.9412105294210159,0.4463173601814632,0.5197938118199906,1024,0,same_cross_fitted_c06_residual
CV05,6,4,0.5581806924033551,0.3436894714840223,0.3185232312147345,1024,0,same_cross_fitted_c06_residual
CV05,6,6,0.7671411975470411,0.42387385600819094,0.5492513922628305,1024,0,same_cross_fitted_c06_residual
CV05,6,8,0.9475042142338541,0.4462215895117551,0.5196436924168649,1024,0,same_cross_fitted_c06_residual
CV05,7,4,0.5581806921254623,0.34352138752343153,0.31904328459740466,1024,0,same_cross_fitted_c06_residual
CV05,7,6,0.7646961443410283,0.4216042542355306,0.5467945000457157,1024,0,same_cross_fitted_c06_residual
CV05,7,8,0.9443042106854347,0.44570128282679505,0.5198481593073107,1024,0,same_cross_fitted_c06_residual
CV05,8,4,0.5581806915154436,0.344655643706462,0.32028876008361024,1024,0,same_cross_fitted_c06_residual
CV05,8,6,0.7671695975595441,0.4218060846435097,0.5458273384615853,1024,0,same_cross_fitted_c06_residual
CV05,8,8,0.9476524749762715,0.4462701587489203,0.5195648836383376,1024,0,same_cross_fitted_c06_residual
CV05,9,4,0.558180691738596,0.34361177626513245,0.3196725470328487,1024,0,same_cross_fitted_c06_residual
CV05,9,6,0.762838074265802,0.4216000033987793,0.5472782575777041,1024,0,same_cross_fitted_c06_residual
CV05,9,8,0.932493599976698,0.4462449059039258,0.5211618959912121,1024,0,same_cross_fitted_c06_residual
CV05,10,4,0.5581806919560245,0.34411293550423655,0.3202288584817791,1024,0,same_cross_fitted_c06_residual
CV05,10,6,0.763105246565467,0.42304656176281297,0.5484193780847301,1024,0,same_cross_fitted_c06_residual
CV05,10,8,0.9581830901566336,0.44548472147274787,0.5199948295459821,1024,0,same_cross_fitted_c06_residual
CV05,11,4,0.5581806921593907,0.34324057953875925,0.32005979491174313,1024,0,same_cross_fitted_c06_residual
CV05,11,6,0.7673858524408133,0.4219579278772888,0.5477920970270607,1024,0,same_cross_fitted_c06_residual
CV05,11,8,0.9375326285677188,0.4455766326873034,0.5177509614895383,1024,0,same_cross_fitted_c06_residual
CV05,12,4,0.5581806920567073,0.3431035694308717,0.31976039095927616,1024,0,same_cross_fitted_c06_residual
CV05,12,6,0.7631116139267632,0.42124445051926435,0.5462477686696803,1024,0,same_cross_fitted_c06_residual
CV05,12,8,0.9409665216644127,0.44708938488572286,0.5216248162016719,1024,0,same_cross_fitted_c06_residual
CV05,13,4,0.5581806918092062,0.343695572342567,0.3196377796131491,1024,0,same_cross_fitted_c06_residual
CV05,13,6,0.7672850720156346,0.42163926267226415,0.548413168229396,1024,0,same_cross_fitted_c06_residual
CV05,13,8,0.9331741743756435,0.4481196589352797,0.520600921220875,1024,0,same_cross_fitted_c06_residual
CV05,14,4,0.5581806919357627,0.3436106807628305,0.3190713415645512,1024,0,same_cross_fitted_c06_residual
CV05,14,6,0.7626976165186508,0.42152479907038837,0.547185554819646,1024,0,same_cross_fitted_c06_residual
CV05,14,8,0.9574583567740323,0.4476116141718465,0.5203111721322928,1024,0,same_cross_fitted_c06_residual
CV05,15,4,0.5581806917326209,0.34398163278222654,0.3191293108913026,1024,0,same_cross_fitted_c06_residual
CV05,15,6,0.7652854125608266,0.4217227941450708,0.547224875945548,1024,0,same_cross_fitted_c06_residual
CV05,15,8,0.9509641201820546,0.4460717933954975,0.5194132194148289,1024,0,same_cross_fitted_c06_residual
CV05,16,4,0.5581806918207965,0.34473172252583234,0.32007763815262563,1024,0,same_cross_fitted_c06_residual
CV05,16,6,0.7637410830314231,0.4216022288110431,0.5466592593811213,1024,0,same_cross_fitted_c06_residual
CV05,16,8,0.9412633409128304,0.44547794031496346,0.5205290136447009,1024,0,same_cross_fitted_c06_residual
CV05,17,4,0.5581806919212233,0.3434857613138174,0.3195545672474731,1024,0,same_cross_fitted_c06_residual
CV05,17,6,0.762920828703732,0.4229282293874552,0.5471135994892564,1024,0,same_cross_fitted_c06_residual
CV05,17,8,0.9325170471919245,0.4461923431991145,0.5181052739895878,1024,0,same_cross_fitted_c06_residual
CV05,18,4,0.5581806916766618,0.34359802376439813,0.3202205874677939,1024,0,same_cross_fitted_c06_residual
CV05,18,6,0.7673483650933022,0.4215868760514937,0.5474928326308733,1024,0,same_cross_fitted_c06_residual
CV05,18,8,0.9236029051424781,0.4461030235067227,0.5203955700195235,1024,0,same_cross_fitted_c06_residual
CV05,19,4,0.5581806917985981,0.3427938060067285,0.3191688265906076,1024,0,same_cross_fitted_c06_residual
CV05,19,6,0.7650592450083862,0.4211248649770713,0.5472047473364726,1024,0,same_cross_fitted_c06_residual
CV05,19,8,0.9421660620866938,0.4464081226830926,0.5182803459328325,1024,0,same_cross_fitted_c06_residual
CV05,20,4,0.558180691122397,0.3445368909594204,0.31978720089168183,1024,0,same_cross_fitted_c06_residual
CV05,20,6,0.7669259942558118,0.42168650861586254,0.5477056335473495,1024,0,same_cross_fitted_c06_residual
CV05,20,8,0.9289147391275225,0.44663029749849725,0.5195993301807561,1024,0,same_cross_fitted_c06_residual
