audit_label,fidelity,split,group_id,base_trajectory,uncertainty_family,expected_records,observed_records,expected_decision_sets,observed_decision_sets,schema_error_records,relationship_error_records,nonfinite_records,feasible_records,feasibility_rate,no_reference_feasible_sets,no_reference_feasible_rate,nonconverged_records,median_robust_delta_v_m_s,median_terminal_position_error_km,p95_terminal_position_error_km,median_terminal_velocity_error_m_s,uncertainty_conformance,uncertainty_notes,payload_sha256,latest_ledger_sha256,ledger_matches_payload,audit_status,error_example
pre_d003,F0,development,G01,C01,U0,500,500,100,100,500,500,0,13,0.026,88,0.88,0,15.014781,17702.9919415,61811.06661945,27.4861635,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,d4e695972f70ab899843083d1a62e9db428bb370ff9170f93fdb0d971b08d76e,d4e695972f70ab899843083d1a62e9db428bb370ff9170f93fdb0d971b08d76e,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G02,C02,U1,500,500,100,100,500,500,0,10,0.02,91,0.91,0,13.636227,7816.4726605,21690.15175955,9.662819,false,observed_nav_position_km=1.03145423;observed_nav_velocity_m_s=0.0484452312;observed_thrust_fraction=0;observed_pointing_deg=0;failed_nav_position_km;failed_nav_velocity_m_s,818fdb39502b8abd9a63d3fa84fbc349f25bb5b1f2944ff5d82ba61ce5e06f83,818fdb39502b8abd9a63d3fa84fbc349f25bb5b1f2944ff5d82ba61ce5e06f83,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G03,C03,U2,500,500,100,100,500,500,0,13,0.026,87,0.87,0,13.2932635,6523.3389385,13811.06182315,7.1170075,false,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.00926573005;observed_pointing_deg=0.497592838;failed_thrust_fraction;failed_pointing_deg,2d7423f7294a57262183f7240f9ea4f597e7d4012e8bb7efa5303144e72b45bb,2d7423f7294a57262183f7240f9ea4f597e7d4012e8bb7efa5303144e72b45bb,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G04,C04,U3,500,500,100,100,500,500,0,25,0.05,77,0.77,0,13.94139,5869.0027635,12713.1886577,6.3804315,false,observed_nav_position_km=0.971765618;observed_nav_velocity_m_s=0.051942414;observed_thrust_fraction=0.0100089197;observed_pointing_deg=0.511867246;failed_nav_position_km;failed_nav_velocity_m_s;failed_thrust_fraction;failed_pointing_deg,58bc5371c0336133618295c544ae01ac42744efdc9652f66dae32594a29c102e,58bc5371c0336133618295c544ae01ac42744efdc9652f66dae32594a29c102e,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G05,C05,U4,500,500,100,100,500,500,0,15,0.03,85,0.85,0,15.0675715,4866.9973635,9473.0505883,5.7158285,false,observed_nav_position_km=0.483132316;observed_nav_velocity_m_s=0.0215739608;observed_thrust_fraction=0.00528066913;observed_pointing_deg=0.291816262;failed_nav_position_km;failed_nav_velocity_m_s;failed_thrust_fraction;failed_pointing_deg;failed_bounded_nav_velocity;failed_bounded_thrust;failed_bounded_pointing,c4d861d1bb2f0304b3a1adf33fc2de42c92aee3d54061a1ebffdc97618e44c8d,c4d861d1bb2f0304b3a1adf33fc2de42c92aee3d54061a1ebffdc97618e44c8d,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G06,C06,U0,500,500,100,100,500,500,0,32,0.064,71,0.71,0,13.8724815,3356.3696705,7203.39720165,11.302355,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,f417c16798f726fa6ab091f041d90be4a3905f8d349be094f416f3ccac71ef27,f417c16798f726fa6ab091f041d90be4a3905f8d349be094f416f3ccac71ef27,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G07,C07,U1,500,500,100,100,500,500,0,61,0.122,52,0.52,0,14.326632,2030.8269455,4115.7072585,8.165862,false,observed_nav_position_km=0.963086502;observed_nav_velocity_m_s=0.0523765852;observed_thrust_fraction=0;observed_pointing_deg=0;failed_nav_position_km;failed_nav_velocity_m_s,faa8a1687a166bdff9051d449a5fd83c5cb0adc525c1d909b4ef7c1eeb28b98b,faa8a1687a166bdff9051d449a5fd83c5cb0adc525c1d909b4ef7c1eeb28b98b,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G08,C08,U2,500,500,100,100,500,500,0,112,0.224,29,0.29,0,16.4724205,1187.8513615,2062.0339272,6.604715,false,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.0103360361;observed_pointing_deg=0.524102828;failed_thrust_fraction;failed_pointing_deg,36bcdcfcb3f9d477adcc13674fe6f725b5042b2e037a7fe7fdfa5e832fa7ab5b,36bcdcfcb3f9d477adcc13674fe6f725b5042b2e037a7fe7fdfa5e832fa7ab5b,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G09,T01,U3,500,500,100,100,500,500,0,6,0.012,94,0.94,0,15.1634415,10292.877554,32378.88281595,17.0685065,false,observed_nav_position_km=1.00773946;observed_nav_velocity_m_s=0.049667123;observed_thrust_fraction=0.0104603312;observed_pointing_deg=0.500845304;failed_nav_position_km;failed_nav_velocity_m_s;failed_thrust_fraction;failed_pointing_deg,26aac1d7ab205262e644c777febdc00892302282e37ad17afa757d1ec418fdd4,26aac1d7ab205262e644c777febdc00892302282e37ad17afa757d1ec418fdd4,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G10,T02,U4,500,500,100,100,500,500,0,12,0.024,89,0.89,0,14.75238,7663.9325995,19171.076679,8.4364555,false,observed_nav_position_km=0.479393922;observed_nav_velocity_m_s=0.0200511771;observed_thrust_fraction=0.0048979547;observed_pointing_deg=0.294482679;failed_nav_position_km;failed_nav_velocity_m_s;failed_thrust_fraction;failed_pointing_deg;failed_bounded_nav_velocity;failed_bounded_thrust;failed_bounded_pointing,2cf416e04ca6244c96abda45ea03c5a70a3eb80795f78cd0f830b26368f4ac0e,2cf416e04ca6244c96abda45ea03c5a70a3eb80795f78cd0f830b26368f4ac0e,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G11,T03,U1,500,500,100,100,500,500,0,23,0.046,79,0.79,0,15.679572,5726.484171,11168.1816864,6.319299,false,observed_nav_position_km=1.02906247;observed_nav_velocity_m_s=0.050833187;observed_thrust_fraction=0;observed_pointing_deg=0;failed_nav_position_km;failed_nav_velocity_m_s,32f65b2d61d7ea41467567789139bb4657d7d7d1c25d9a1ddb0c1179bfb865d2,32f65b2d61d7ea41467567789139bb4657d7d7d1c25d9a1ddb0c1179bfb865d2,true,invalid,'base_trajectory' is a required property
pre_d003,F0,development,G12,T04,U2,500,500,100,100,500,500,0,33,0.066,71,0.71,0,16.383629,3477.689466,6288.55187265,11.6397945,false,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.0104891277;observed_pointing_deg=0.499525546;failed_thrust_fraction;failed_pointing_deg,3ea29acea0bea9f739438381f2235e685f3395728f9c8b7dfac99c679c594167,3ea29acea0bea9f739438381f2235e685f3395728f9c8b7dfac99c679c594167,true,invalid,'base_trajectory' is a required property
pre_d003,F0,uncertainty_calibration,G13,C04,U1,500,500,100,100,500,500,0,21,0.042,83,0.83,0,16.0418,6491.357787,12997.17405865,7.070671,false,observed_nav_position_km=1.03563807;observed_nav_velocity_m_s=0.0481189069;observed_thrust_fraction=0;observed_pointing_deg=0;failed_nav_position_km;failed_nav_velocity_m_s,bfb53845c645dc7ed965320f6056f62c37682711d2e3adf02e9bb2a70ccf4665,bfb53845c645dc7ed965320f6056f62c37682711d2e3adf02e9bb2a70ccf4665,true,invalid,'base_trajectory' is a required property
pre_d003,F0,uncertainty_calibration,G14,C08,U3,500,500,100,100,500,500,0,126,0.252,24,0.24,0,14.4590905,1042.865811,2012.69276415,6.0766865,false,observed_nav_position_km=1.04904316;observed_nav_velocity_m_s=0.0518002807;observed_thrust_fraction=0.0100479186;observed_pointing_deg=0.50964784;failed_nav_position_km;failed_nav_velocity_m_s;failed_thrust_fraction;failed_pointing_deg,68c3a82b937063a987fde6e79bf27a8a87cf1b9e0c618e46af521fcb76ba9d0f,68c3a82b937063a987fde6e79bf27a8a87cf1b9e0c618e46af521fcb76ba9d0f,true,invalid,'base_trajectory' is a required property
