search_id,database,query_date,search_cutoff,exact_query,field_scope,filters,result_count,records_retrieved,coverage_status,api_url,notes
S1,OpenAlex,2026-07-12,2026-07-10,"(spacecraft OR cislunar OR lunar OR Orion) AND (""trajectory correction"" OR guidance OR ""burn placement"") AND (propellant OR ""delta-v"" OR fuel) AND (robust OR uncertainty OR dispersion)",title_and_abstract.search,through cutoff; retracted=false,218,218,complete metadata retrieval,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28spacecraft+OR+cislunar+OR+lunar+OR+Orion%29+AND+%28%22trajectory+correction%22+OR+guidance+OR+%22burn+placement%22%29+AND+%28propellant+OR+%22delta-v%22+OR+fuel%29+AND+%28robust+OR+uncertainty+OR+dispersion%29%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Discovery index only; primary records determine evidence claims.
S2,OpenAlex,2026-07-12,2026-07-10,"(""machine learning"" OR ""reinforcement learning"" OR surrogate) AND (spacecraft OR cislunar OR ""low thrust"") AND (trajectory OR guidance OR control)",title_and_abstract.search,2018-01-01 through cutoff; retracted=false,826,100,partial: first 100 relevance-ranked records,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28%22machine+learning%22+OR+%22reinforcement+learning%22+OR+surrogate%29+AND+%28spacecraft+OR+cislunar+OR+%22low+thrust%22%29+AND+%28trajectory+OR+guidance+OR+control%29%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Unauthenticated API export was rate-limited; exact total retained and bounded discovery records are not treated as primary evidence.
S3,OpenAlex,2026-07-12,2026-07-10,"(""quantum machine learning"" OR ""quantum kernel"" OR ""variational quantum"" OR ""quantum neural network"") AND (regression OR reinforcement OR surrogate OR control)",title_and_abstract.search,2018-01-01 through cutoff; retracted=false,2554,2560,complete metadata retrieval,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28%22quantum+machine+learning%22+OR+%22quantum+kernel%22+OR+%22variational+quantum%22+OR+%22quantum+neural+network%22%29+AND+%28regression+OR+reinforcement+OR+surrogate+OR+control%29%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Discovery index only; primary records determine evidence claims.
S4,OpenAlex,2026-07-12,2026-07-10,"(""quantum annealing"" OR QAOA OR QUBO) AND (spacecraft OR trajectory OR ""space mission"")",title_and_abstract.search,2018-01-01 through cutoff; retracted=false,148,100,partial: first 100 relevance-ranked records,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28%22quantum+annealing%22+OR+QAOA+OR+QUBO%29+AND+%28spacecraft+OR+trajectory+OR+%22space+mission%22%29%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Unauthenticated API export was rate-limited; exact total retained and bounded discovery records are not treated as primary evidence.
S5,OpenAlex,2026-07-12,2026-07-10,"(Artemis OR Orion) AND (""trajectory correction"" OR navigation OR propulsion OR ""crew schedule"" OR ephemeris)",title_and_abstract.search,through cutoff; retracted=false,1263,100,partial: first 100 relevance-ranked records,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28Artemis+OR+Orion%29+AND+%28%22trajectory+correction%22+OR+navigation+OR+propulsion+OR+%22crew+schedule%22+OR+ephemeris%29%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Unauthenticated API export was rate-limited; exact total retained and bounded discovery records are not treated as primary evidence.
S6,OpenAlex,2026-07-12,2026-07-10,"(""human spaceflight"" OR astronaut OR crewed) AND (acceleration OR sleep OR workload OR radiation) AND (standard OR constraint OR spacecraft)",title_and_abstract.search,through cutoff; retracted=false,2760,100,partial: first 100 relevance-ranked records,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28%22human+spaceflight%22+OR+astronaut+OR+crewed%29+AND+%28acceleration+OR+sleep+OR+workload+OR+radiation%29+AND+%28standard+OR+constraint+OR+spacecraft%29%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Unauthenticated API export was rate-limited; exact total retained and bounded discovery records are not treated as primary evidence.
S7,OpenAlex,2026-07-12,2026-07-10,"(""model credibility"" OR ""simulation validation"" OR ""verification and validation"") AND (NASA OR spacecraft OR trajectory)",title_and_abstract.search,through cutoff; retracted=false,1978,100,partial: first 100 relevance-ranked records,https://api.openalex.org/works?filter=title_and_abstract.search%3A%28%22model+credibility%22+OR+%22simulation+validation%22+OR+%22verification+and+validation%22%29+AND+%28NASA+OR+spacecraft+OR+trajectory%29%2Cto_publication_date%3A2026-07-10%2Cis_retracted%3Afalse&per_page=100&cursor=%2A&mailto=taechasith%40users.noreply.github.com&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Clanguage%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Cis_retracted,Unauthenticated API export was rate-limited; exact total retained and bounded discovery records are not treated as primary evidence.
S1,NASA NTRS,2026-07-12,2026-07-10,trajectory correction uncertainty,NTRS q full-record search,records through cutoff retained locally,18,18,complete API retrieval,https://ntrs.nasa.gov/api/citations/search?q=trajectory+correction+uncertainty&page%5Bsize%5D=100&page%5Bfrom%5D=0,Boolean concepts flattened for the NTRS q interface.
S5,NASA NTRS,2026-07-12,2026-07-10,Artemis trajectory,NTRS q full-record search,records through cutoff retained locally,120,120,complete API retrieval,https://ntrs.nasa.gov/api/citations/search?q=Artemis+trajectory&page%5Bsize%5D=100&page%5Bfrom%5D=0,Boolean concepts flattened for the NTRS q interface.
S6,NASA NTRS,2026-07-12,2026-07-10,human spaceflight acceleration,NTRS q full-record search,records through cutoff retained locally,37,37,complete API retrieval,https://ntrs.nasa.gov/api/citations/search?q=human+spaceflight+acceleration&page%5Bsize%5D=100&page%5Bfrom%5D=0,Boolean concepts flattened for the NTRS q interface.
S7,NASA NTRS,2026-07-12,2026-07-10,simulation validation spacecraft,NTRS q full-record search,records through cutoff retained locally,212,212,complete API retrieval,https://ntrs.nasa.gov/api/citations/search?q=simulation+validation+spacecraft&page%5Bsize%5D=100&page%5Bfrom%5D=0,Boolean concepts flattened for the NTRS q interface.
S2,arXiv,2026-07-12,2026-07-10,"(all:""machine learning"" OR all:""reinforcement learning"" OR all:surrogate) AND (all:spacecraft OR all:cislunar OR all:""low thrust"") AND (all:trajectory OR all:guidance OR all:control)",all fields,2018-01-01 through cutoff applied locally,166,161,complete API retrieval with local date filter,https://export.arxiv.org/api/query?search_query=%28all%3A%22machine+learning%22+OR+all%3A%22reinforcement+learning%22+OR+all%3Asurrogate%29+AND+%28all%3Aspacecraft+OR+all%3Acislunar+OR+all%3A%22low+thrust%22%29+AND+%28all%3Atrajectory+OR+all%3Aguidance+OR+all%3Acontrol%29&start=0&max_results=100&sortBy=relevance,Preprint discovery; companion DOI records are deduplicated when present.
S3,arXiv,2026-07-12,2026-07-10,"(all:""quantum machine learning"" OR all:""quantum kernel"" OR all:""variational quantum"" OR all:""quantum neural network"") AND (all:regression OR all:reinforcement OR all:surrogate OR all:control)",all fields,2018-01-01 through cutoff applied locally,864,849,complete API retrieval with local date filter,https://export.arxiv.org/api/query?search_query=%28all%3A%22quantum+machine+learning%22+OR+all%3A%22quantum+kernel%22+OR+all%3A%22variational+quantum%22+OR+all%3A%22quantum+neural+network%22%29+AND+%28all%3Aregression+OR+all%3Areinforcement+OR+all%3Asurrogate+OR+all%3Acontrol%29&start=0&max_results=100&sortBy=relevance,Preprint discovery; companion DOI records are deduplicated when present.
S4,arXiv,2026-07-12,2026-07-10,"(all:""quantum annealing"" OR all:QAOA OR all:QUBO) AND (all:spacecraft OR all:trajectory OR all:""space mission"")",all fields,2018-01-01 through cutoff applied locally,39,33,complete API retrieval with local date filter,https://export.arxiv.org/api/query?search_query=%28all%3A%22quantum+annealing%22+OR+all%3AQAOA+OR+all%3AQUBO%29+AND+%28all%3Aspacecraft+OR+all%3Atrajectory+OR+all%3A%22space+mission%22%29&start=0&max_results=100&sortBy=relevance,Preprint discovery; companion DOI records are deduplicated when present.
